room_category,normalized_category,raw_category,product_name,product_id,width_cm,depth_cm,height_cm,material,image_path,raw_dimension_text,reason
Baby Children,table,Babies Tableware,Babies Tableware,20213883,11,13,8,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Babies Tableware/20213883.jpg,Package Number: 1 Length: 13 cm Width: 11 cm Height: 8 cm Diameter: Net Weight: 0.05 kg Gross Weight: 0.06 kg Gross Volume: 1.1 l,package_dimension
Baby Children,table,Babies Tableware,Babies Tableware,40084861,25,28,13,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Babies Tableware/40084861.jpg,Package Number: 1 Length: 28 cm Width: 25 cm Height: 13 cm Diameter: Net Weight: 0.20 kg Gross Weight: 0.22 kg Gross Volume: 8.6 l,package_dimension
Baby Children,table,Babies Tableware,Babies Tableware,40199287,8,22,3,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Babies Tableware/40199287.jpg,Package Number: 1 Length: 22 cm Width: 8 cm Height: 3 cm Diameter: Net Weight: 0.02 kg Gross Weight: 0.04 kg Gross Volume: 0.5 l,package_dimension
Baby Children,table,Babies Tableware,Babies Tableware,60137571,12,21,2,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Babies Tableware/60137571.jpg,Package Number: 1 Length: 21 cm Width: 12 cm Height: 2 cm Diameter: Net Weight: 0.10 kg Gross Weight: 0.12 kg Gross Volume: 0.5 l,package_dimension
Baby Children,table,Babies Tableware,Babies Tableware,60368726,20,27,3,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Babies Tableware/60368726.jpg,Package Number: 1 Length: 27 cm Width: 20 cm Height: 3 cm Diameter: Net Weight: 0.05 kg Gross Weight: 0.06 kg Gross Volume: 1.4 l,package_dimension
Baby Children,table,Babies Tableware,Babies Tableware,70137575,11,20,2,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Babies Tableware/70137575.jpg,Package Number: 1 Length: 20 cm Width: 11 cm Height: 2 cm Diameter: Net Weight: 0.08 kg Gross Weight: 0.09 kg Gross Volume: 0.3 l,package_dimension
Baby Children,table,Babies Tableware,Babies Tableware,80307223,34,37,,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Babies Tableware/80307223.jpg,Length: 37 cm Width: 34 cm,missing_dimension
Baby Children,table,Babies Tableware,Babies Tableware,80307223,23,30,1,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Babies Tableware/80307223.jpg,Package Number: 1 Length: 30 cm Width: 23 cm Height: 1 cm Diameter: Net Weight: 0.04 kg Gross Weight: 0.05 kg Gross Volume: 0.4 l,package_dimension
Baby Children,table,Babies Tableware,Babies Tableware,80421332,14,18,3,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Babies Tableware/80421332.jpg,Package Number: 1 Length: 18 cm Width: 14 cm Height: 3 cm Diameter: Net Weight: 0.23 kg Gross Weight: 0.24 kg Gross Volume: 0.8 l,package_dimension
Baby Children,table,Babies Tableware,Babies Tableware,60426934,30,40,,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Babies Tableware/60426934.jpg,Length: 40 cm Width: 30 cm,missing_dimension
