category,axis,count,mean,median,p05,p10,p25,p75,p90,p95,min,max,is_unreliable
12months,depth_cm,5,31.2,31,24.8,25.6,28,33,37.2,38.6,24,40,true
12months,height_cm,5,21,14,7,8,11,28,38.8,42.4,6,46,true
12months,width_cm,5,21.4,25,11,12,15,27,28.8,29.4,10,30,true
18months,depth_cm,1,33,33,33,33,33,33,33,33,33,33,true
18months,height_cm,1,6,6,6,6,6,6,6,6,6,6,true
18months,width_cm,1,27,27,27,27,27,27,27,27,27,27,true
6months,depth_cm,1,16,16,16,16,16,16,16,16,16,16,true
6months,height_cm,1,21,21,21,21,21,21,21,21,21,21,true
6months,width_cm,1,16,16,16,16,16,16,16,16,16,16,true
accesories,depth_cm,2,35,35,35,35,35,35,35,35,35,35,true
accesories,height_cm,2,70,70,70,70,70,70,70,70,70,70,true
accesories,width_cm,2,40,40,40,40,40,40,40,40,40,40,true
arts_craft,depth_cm,3,34.33,39,22.8,24.6,30,41,42.2,42.6,21,43,true
arts_craft,height_cm,3,48.67,23,6.8,8.6,14,70.5,99,108.5,5,118,true
arts_craft,width_cm,3,33.67,23,16.7,17.4,19.5,42.5,54.2,58.1,16,62,true
babyaccessories,depth_cm,5,47.6,36,24.6,25.2,27,71,76.4,78.2,24,80,true
babyaccessories,height_cm,5,23,20,14,15,18,28,32.8,34.4,13,36,true
babyaccessories,width_cm,5,35.2,37,24.6,25.2,27,43,44.2,44.6,24,45,true
babylinen,depth_cm,1,60,60,60,60,60,60,60,60,60,60,true
babylinen,height_cm,1,18,18,18,18,18,18,18,18,18,18,true
babylinen,width_cm,1,50,50,50,50,50,50,50,50,50,50,true
bakeware,depth_cm,1,35,35,35,35,35,35,35,35,35,35,true
bakeware,height_cm,1,6,6,6,6,6,6,6,6,6,6,true
bakeware,width_cm,1,14,14,14,14,14,14,14,14,14,14,true
baskets,depth_cm,14,32.29,29,27,27,28.25,34.75,37.4,42.55,27,51,true
baskets,height_cm,14,22.21,23,14.3,15,15.25,28.75,32,32,13,32,true
baskets,width_cm,14,32.14,32,25,25.6,28.25,36,37.4,38,25,38,true
bathroom_trolleys,depth_cm,2,32.25,32.25,24.82,25.65,28.12,36.38,38.85,39.67,24,40.5,true
bathroom_trolleys,height_cm,2,75.75,75.75,74.62,74.75,75.12,76.38,76.75,76.88,74.5,77,true
bathroom_trolleys,width_cm,2,40,40,32.8,33.6,36,44,46.4,47.2,32,48,true
bathroominteriororganizer,depth_cm,1,32,32,32,32,32,32,32,32,32,32,true
bathroominteriororganizer,height_cm,1,10,10,10,10,10,10,10,10,10,10,true
bathroominteriororganizer,width_cm,1,28,28,28,28,28,28,28,28,28,28,true
bathroomlighting,depth_cm,1,15,15,15,15,15,15,15,15,15,15,true
bathroomlighting,height_cm,1,18,18,18,18,18,18,18,18,18,18,true
bathroomlighting,width_cm,1,6,6,6,6,6,6,6,6,6,6,true
bathroommirrors,depth_cm,3,12,11,11,11,11,12.5,13.4,13.7,11,14,true
bathroommirrors,height_cm,3,72,78,61.8,63.6,69,78,78,78,60,78,true
bathroommirrors,width_cm,3,56.67,60,51,52,55,60,60,60,50,60,true
bathroomsinkaccessories,depth_cm,4,22.25,25,14.65,16.3,21.25,26,26,26,13,26,true
bathroomsinkaccessories,height_cm,4,13.75,11,7.15,7.3,7.75,17,22.4,24.2,7,26,true
bathroomsinkaccessories,width_cm,4,24,23.5,14.45,14.9,16.25,31.25,33.5,34.25,14,35,true
bathroomsinks,depth_cm,7,35.14,34,28.5,30,32.5,39.5,40.4,40.7,27,41,true
bathroomsinks,height_cm,7,10.57,10,7.3,7.6,9,12.5,13.4,13.7,7,14,true
bathroomsinks,width_cm,7,53.43,61,33.8,38.6,48,62.5,63,63,29,63,true
batteries,depth_cm,1,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,true
