room_category,normalized_category,raw_category,product_name,product_id,width_cm,depth_cm,height_cm,material,image_path,raw_dimension_text
Baby Children,babylinen,BabyLinen,Babylinen,20400243,50,60,18,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Baby Testiles/BabyLinen/20400243.jpg,Length: 60 cm Width: 50 cm Height: 18 cm Filling weight: 1030 g Total weight: 1125 g
Baby Children,babyaccessories,BabyAccessories,Babyaccessories,30193163,24,27,18,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/BabyAccessories/30193163.jpg,Length: 27 cm Width: 24 cm Height: 18 cm
Baby Children,babyaccessories,BabyAccessories,Babyaccessories,40248443,43,71,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/BabyAccessories/40248443.jpg,Length: 71 cm Width: 43 cm Height: 20 cm
Baby Children,babyaccessories,BabyAccessories,Babyaccessories,50167969,45,80,36,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/BabyAccessories/50167969.jpg,Width: 45 cm Depth: 80 cm Max. height: 36 cm Max. weight: 9 kg
Baby Children,babyaccessories,BabyAccessories,Babyaccessories,60193128,27,36,28,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/BabyAccessories/60193128.jpg,Length: 36 cm Width: 27 cm Height: 28 cm
Baby Children,babyaccessories,BabyAccessories,Babyaccessories,60248418,37,24,13,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/BabyAccessories/60248418.jpg,Width: 37 cm Depth: 24 cm Height: 13 cm Max. load: 35 kg
Baby Children,stuva_combinations,STUVA Combinations,Stuva Combinations,39252756,60,50,128,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Children Storage/STUVA Combinations/39252756.jpg,Width: 60 cm Depth: 50 cm Height: 128 cm
Baby Children,stuva_combinations,STUVA Combinations,Stuva Combinations,69252868,60,50,192,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Children Storage/STUVA Combinations/69252868.jpg,Width: 60 cm Depth: 50 cm Height: 192 cm
Baby Children,stuva_combinations,STUVA Combinations,Stuva Combinations,59279585,60,50,64,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Children Storage/STUVA Combinations/59279585.jpg,Width: 60 cm Depth: 50 cm Height: 64 cm
Baby Children,stuva_combinations,STUVA Combinations,Stuva Combinations,59239740,60,50,128,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Children Storage/STUVA Combinations/59239740.jpg,Width: 60 cm Depth: 50 cm Height: 128 cm
Baby Children,stuva_frames,STUVA Frames,Stuva Frames,00128621,60,50,128,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Children Storage/STUVA Frames/00128621.jpg,Width: 60 cm Depth: 50 cm Height: 128 cm
Baby Children,stuva_frames,STUVA Frames,Stuva Frames,00386988,60,50,64,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Children Storage/STUVA Frames/00386988.jpg,Width: 60 cm Depth: 50 cm Height: 64 cm
Baby Children,stuva_frames,STUVA Frames,Stuva Frames,30157377,60,50,192,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Children Storage/STUVA Frames/30157377.jpg,Width: 60 cm Depth: 50 cm Height: 192 cm
Baby Children,12months,12months,12Months,20294879,15,28,11,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Children Toys/12months/20294879.jpg,Length: 28 cm Width: 15 cm Height: 11 cm
Baby Children,12months,12months,12Months,30283578,30,40,46,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Children Toys/12months/30283578.jpg,Length: 40 cm Width: 30 cm Height: 46 cm
Baby Children,12months,12months,12Months,70294891,10,24,14,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Children Toys/12months/70294891.jpg,Length: 24 cm Width: 10 cm Height: 14 cm
Baby Children,12months,12months,12Months,80387615,25,31,28,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Children Toys/12months/80387615.jpg,Length: 31 cm Width: 25 cm Height: 28 cm
Baby Children,12months,12months,12Months,00294875,27,33,6,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Children Toys/12months/00294875.jpg,Length: 33 cm Width: 27 cm Height: 6 cm
Baby Children,18months,18months,18Months,00452129,27,33,6,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Children Toys/18months/00452129.jpg,Length: 33 cm Width: 27 cm Height: 6 cm
Baby Children,6months,6months,6Months,10294889,16,16,21,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Children Toys/6months/10294889.jpg,Length: 16 cm Width: 16 cm Height: 21 cm
Baby Children,hooks_and_hangers,Hooks and Hangers,Hooks And Hangers,80449920,60,17,19,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/Hooks and Hangers/80449920.jpg,Width: 60 cm Depth: 17 cm Height: 19 cm
Baby Children,smallboxes,SmallBoxes,Smallboxes,00283103,21,34,8,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildSafety/00283103.jpg,Length: 34 cm Width: 21 cm Height: 8 cm
Baby Children,smallboxes,SmallBoxes,Smallboxes,00328837,57,35,28,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/SmallBoxes/00328837.jpg,Width: 57 cm Depth: 35 cm Height: 28 cm
Baby Children,smallboxes,SmallBoxes,Smallboxes,10099289,39,39,28,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/SmallBoxes/10099289.jpg,Length: 39 cm Width: 39 cm Height: 28 cm
Baby Children,smallboxes,SmallBoxes,Smallboxes,10298420,39,44,31,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/SmallBoxes/10298420.jpg,Length: 44 cm Width: 39 cm Height: 31 cm
Baby Children,smallboxes,SmallBoxes,Smallboxes,50421338,25,40,98,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/SmallBoxes/50421338.jpg,Width: 25 cm Depth: 40 cm Height: 98 cm
Baby Children,smallboxes,SmallBoxes,Smallboxes,60328844,79,42,41,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/SmallBoxes/60328844.jpg,Width: 79 cm Depth: 42 cm Height: 41 cm
Baby Children,smallboxes,SmallBoxes,Smallboxes,70328853,25,35,15,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/SmallBoxes/70328853.jpg,Length: 35 cm Width: 25 cm Height: 15 cm
Baby Children,smallboxes,SmallBoxes,Smallboxes,80098516,39,39,28,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/SmallBoxes/80098516.jpg,Length: 39 cm Width: 39 cm Height: 28 cm
Baby Children,smallboxes,SmallBoxes,Smallboxes,60441500,25,37,22,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/SmallBoxes/60441500.jpg,Width: 25 cm Depth: 37 cm Height: 22 cm
Baby Children,smallboxes,SmallBoxes,Smallboxes,90421317,25,37,22,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/SmallBoxes/90421317.jpg,Width: 25 cm Depth: 37 cm Height: 22 cm
Baby Children,smallboxes,SmallBoxes,Smallboxes,90421322,25,37,22,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/SmallBoxes/90421322.jpg,Width: 25 cm Depth: 37 cm Height: 22 cm
Baby Children,smallboxes,SmallBoxes,Smallboxes,00327994,25,42,25,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/SmallBoxes/00327994.jpg,Width: 25 cm Depth: 42 cm Height: 25 cm
Baby Children,storage,Toy storage Boxes,Toy Storage Boxes,00252578,30,20,10,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/Toy storage Boxes/00252578.jpg,Length: 20 cm Width: 30 cm Height: 10 cm
Baby Children,storage,Toy storage Boxes,Toy Storage Boxes,10252573,30,42,23,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/Toy storage Boxes/10252573.jpg,Length: 42 cm Width: 30 cm Height: 23 cm
Baby Children,storage,Toy storage Boxes,Toy Storage Boxes,20089242,30,42,36,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/Toy storage Boxes/20089242.jpg,Length: 42 cm Width: 30 cm Height: 36 cm
Baby Children,storage,Toy storage Boxes,Toy Storage Boxes,30298023,30,42,23,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/Toy storage Boxes/30298023.jpg,Length: 42 cm Width: 30 cm Height: 23 cm
Baby Children,storage,Toy storage Boxes,Toy Storage Boxes,50115862,30,42,23,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/Toy storage Boxes/50115862.jpg,Length: 42 cm Width: 30 cm Height: 23 cm
Baby Children,storage,Toy storage Boxes,Toy Storage Boxes,50308002,30,42,10,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/Toy storage Boxes/50308002.jpg,Length: 42 cm Width: 30 cm Height: 10 cm
Baby Children,storage,Toy storage Boxes,Toy Storage Boxes,60094072,30,42,10,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/Toy storage Boxes/60094072.jpg,Length: 42 cm Width: 30 cm Height: 10 cm
Baby Children,storage,Toy storage Boxes,Toy Storage Boxes,70091412,30,20,10,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/Toy storage Boxes/70091412.jpg,Length: 20 cm Width: 30 cm Height: 10 cm
Baby Children,storage,Toy storage Boxes,Toy Storage Boxes,80089239,30,42,10,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/Toy storage Boxes/80089239.jpg,Length: 42 cm Width: 30 cm Height: 10 cm
Baby Children,storage,Toy storage Boxes,Toy Storage Boxes,95685100,30,42,23,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/Toy storage Boxes/95685100.jpg,Length: 42 cm Width: 30 cm Height: 23 cm
Baby Children,wallorganizer,WallOrganizer,Wallorganizer,00290778,70,9,16,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/WallOrganizer/00290778.jpg,Width: 70 cm Depth: 9 cm Height: 16 cm Max. load: 5 kg
Baby Children,wallorganizer,WallOrganizer,Wallorganizer,30381852,37,6,37,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/ChildrenSmallStorage/WallOrganizer/30381852.jpg,Width: 37 cm Depth: 6 cm Height: 37 cm Max. load/shelf: 400 g Max. load/compartment: 2 kg
Baby Children,storage,toy storage,Toy Storage,19102659,94,44,52,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Childrens-Storage-Furniture/toy-storage/19102659.jpg,Width: 94 cm Depth: 44 cm Height: 52 cm
Baby Children,storage,toy storage,Toy Storage,39240867,94,44,52,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Childrens-Storage-Furniture/toy-storage/39240867.jpg,Width: 94 cm Depth: 44 cm Height: 52 cm
Baby Children,storage,toy storage,Toy Storage,49123405,99,44,56,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Childrens-Storage-Furniture/toy-storage/49123405.jpg,Width: 99 cm Depth: 44 cm Height: 56 cm
Baby Children,storage,toy storage,Toy Storage,10091453,99,44,94,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Childrens-Storage-Furniture/toy-storage/10091453.jpg,Width: 99 cm Depth: 44 cm Height: 94 cm
Baby Children,storage,toy storage,Toy Storage,10308693,44,30,91,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Childrens-Storage-Furniture/toy-storage/10308693.jpg,Width: 44 cm Depth: 30 cm Height: 91 cm
Baby Children,storage,toy storage,Toy Storage,20308697,94,44,52,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Baby Children/Baby Children/Baby/Childrens-Storage-Furniture/toy-storage/20308697.jpg,Width: 94 cm Depth: 44 cm Height: 52 cm
